Wall time,Step,Value
1712354571.3040476,189,-1000.0
1712354574.8719606,401,-1000.0
1712354578.1687586,594,-1000.0
1712354581.5287242,794,-1000.0
1712354586.2725358,1081,-1000.0
1712354591.1880906,1382,-1000.0
1712354594.5170949,1578,-999.8928833007812
1712354597.0568929,1726,-999.90625
1712354601.8272684,2015,-999.9166870117188
1712354604.9842494,2200,-999.8499755859375
1712354609.758748,2490,-999.8636474609375
1712354615.171443,2823,-999.875
1712354618.843635,3040,-999.8846435546875
1712354625.4523473,3447,-999.8928833007812
1712354629.3181112,3677,-999.9000244140625
1712354633.0844135,3899,-999.90625
1712354635.6948087,4050,-999.9117431640625
1712354638.366276,4203,-999.9166870117188
1712354640.7307718,4335,-999.9210815429688
1712354646.4100828,4679,-999.9249877929688
1712354648.8676913,4817,-999.9285888671875
1712354651.195868,4943,-999.9318237304688
1712354655.0859332,5170,-999.9347534179688
1712354658.0354378,5337,-999.9375
1712354661.7357311,5557,-999.9400024414062
1712354666.7720542,5866,-999.9400024414062
1712354669.4575262,6023,-999.9400024414062
1712354672.5591264,6206,-999.9400024414062
1712354676.104237,6418,-999.9400024414062
1712354679.5312676,6620,-999.9400024414062
1712354683.624905,6868,-999.9400024414062
1712354687.9709246,7131,-999.969970703125
1712354692.724896,7421,-999.969970703125
1712354696.6480792,7656,-999.969970703125
1712354700.2006915,7866,-1000.0
1712354704.9129698,8156,-1000.0
1712354708.515833,8372,-1000.0
1712354711.3375041,8534,-1000.0
1712354716.3711715,8841,-1000.0
1712354719.815181,9046,-1000.0
1712354723.999999,9299,-1000.0
1712354727.0776186,9480,-1000.0
1712354729.9735959,9649,-1000.0
1712354734.71937,9938,-1000.0
1712354740.2650664,10275,-999.9600219726562
1712354744.0127969,10497,-999.9600219726562
1712354745.969215,10607,-999.9600219726562
1712354750.6879933,10893,-999.9600219726562
1712354754.7475183,11138,-999.9600219726562
1712354758.8527188,11385,-999.9600219726562
1712354762.6333816,11613,-999.9600219726562
1712354765.0918553,11756,-999.9600219726562
1712354768.4781096,11957,-999.9600219726562
1712354771.3152745,12122,-999.9600219726562
1712354774.9167423,12338,-999.9600219726562
1712354779.3049338,12602,-999.9600219726562
1712354785.081743,12957,-999.9600219726562
1712354788.9755125,13189,-999.9600219726562
1712354793.3973558,13456,-999.9600219726562
1712354797.9601107,13735,-999.9600219726562
1712354801.1686568,13925,-999.9600219726562
1712354808.1003373,14353,-999.9600219726562
1712354811.64929,14563,-999.9600219726562
1712354814.9498296,14761,-999.9600219726562
1712354817.0336514,14879,-999.9600219726562
1712354822.2582252,15197,-999.9600219726562
1712354826.7926645,15474,-999.9600219726562
1712354831.6747477,15775,-999.9600219726562
1712354833.9343674,15908,-999.9600219726562
1712354838.6578128,16195,-1000.0
1712354843.4179318,16488,-1000.0
1712354846.871906,16694,-1000.0
1712354851.828991,16997,-1000.0
1712354855.4687095,17214,-1000.0
1712354858.0446622,17362,-1000.0
1712354861.284534,17554,-1000.0
1712354866.1537457,17851,-1000.0
1712354870.262568,18104,-999.97998046875
1712354874.3284762,18351,-999.97998046875
1712354879.4400036,18661,-999.97998046875
1712354883.2536635,18888,-999.97998046875
1712354886.267649,19064,-999.9500122070312
1712354888.386909,19183,-999.9500122070312
1712354892.0940545,19404,-999.9500122070312
1712354896.8510346,19692,-999.9500122070312
1712354901.8802323,19998,-999.9400024414062
1712354905.704676,20222,-999.9400024414062
1712354910.0771198,20485,-999.9400024414062
1712354913.8482718,20709,-999.9400024414062
1712354916.8174994,20882,-999.9400024414062
1712354922.8740146,21250,-999.9400024414062
1712354925.6137152,21408,-999.9400024414062
1712354930.0859132,21674,-999.9400024414062
1712354933.2892106,21858,-999.9400024414062
1712354939.586766,22242,-999.9400024414062
1712354943.8728018,22499,-999.9400024414062
1712354947.3919828,22709,-999.9400024414062
1712354952.0984886,22994,-999.9400024414062
1712354956.4449081,23254,-999.9400024414062
1712354961.6180842,23568,-999.9400024414062
1712354966.0240784,23836,-999.9400024414062
1712354969.8448658,24065,-999.9400024414062
1712354974.5106459,24348,-999.9600219726562
1712354978.2824793,24573,-999.9600219726562
1712354981.4490972,24760,-999.9600219726562
1712354983.4794412,24872,-999.9600219726562
1712354986.7923086,25069,-999.989990234375
1712354989.5405562,25229,-999.989990234375
1712354992.5699472,25404,-999.989990234375
1712354996.8229964,25661,-999.989990234375
1712355000.888913,25904,-1000.0
1712355005.4768085,26179,-1000.0
1712355009.9995012,26451,-1000.0
1712355014.0914514,26696,-1000.0
1712355017.8307867,26921,-1000.0
1712355020.4370294,27071,-1000.0
1712355024.0990756,27287,-1000.0
1712355028.0881743,27526,-1000.0
1712355031.2981513,27716,-1000.0
1712355034.4248452,27900,-1000.0
1712355039.8273578,28231,-1000.0
1712355044.2409544,28493,-999.989990234375
1712355048.4705122,28745,-999.989990234375
1712355053.0258803,29021,-999.989990234375
1712355056.0578177,29199,-999.989990234375
1712355058.860461,29361,-999.989990234375
1712355062.7788393,29594,-999.989990234375
1712355065.8529222,29773,-999.989990234375
1712355069.716797,30004,-999.989990234375
1712355075.5854762,30364,-999.989990234375
1712355079.2565393,30581,-999.989990234375
1712355083.9012778,30861,-999.989990234375
1712355089.9639914,31232,-999.989990234375
1712355093.472027,31438,-999.989990234375
1712355097.2232728,31661,-999.989990234375
1712355102.2549348,31964,-999.989990234375
1712355106.1550105,32194,-999.989990234375
1712355110.3014073,32441,-999.989990234375
1712355114.3739815,32682,-999.989990234375
1712355118.2961473,32919,-999.989990234375
1712355122.0227532,33140,-999.989990234375
1712355126.208492,33389,-999.989990234375
1712355129.3464718,33571,-999.989990234375
1712355133.5852387,33821,-999.989990234375
1712355137.8428314,34075,-999.989990234375
1712355141.6847372,34305,-999.989990234375
1712355146.8029304,34616,-1000.0
1712355150.156673,34814,-1000.0
1712355153.713201,35024,-1000.0
1712355157.6146634,35258,-1000.0
1712355160.9310853,35460,-1000.0
1712355164.8456924,35694,-1000.0
1712355169.7348406,35989,-1000.0
1712355173.7817376,36228,-1000.0
1712355177.9027185,36477,-1000.0
1712355181.0933292,36663,-999.989990234375
1712355186.0205982,36965,-999.989990234375
1712355192.881484,37390,-999.989990234375
1712355196.7235253,37620,-999.989990234375
1712355199.8695755,37805,-999.989990234375
1712355204.624926,38095,-999.989990234375
1712355208.2406132,38310,-999.989990234375
1712355212.398393,38561,-999.989990234375
1712355215.1088715,38720,-999.989990234375
1712355218.4640024,38915,-999.969970703125
1712355221.9928117,39126,-999.969970703125
1712355226.31756,39386,-999.969970703125
1712355230.4189134,39633,-999.969970703125
1712355233.5026321,39813,-999.969970703125
1712355238.101858,40092,-999.969970703125
1712355242.6651154,40371,-999.969970703125
1712355248.0018923,40697,-999.969970703125
1712355251.8419328,40926,-999.969970703125
1712355255.156561,41120,-999.969970703125
1712355258.477802,41315,-999.969970703125
1712355262.5743916,41558,-999.969970703125
1712355266.302207,41781,-999.969970703125
1712355272.6432412,42170,-999.969970703125
1712355275.0394256,42310,-999.969970703125
1712355277.5915487,42458,-999.969970703125
1712355282.1929858,42734,-999.97998046875
1712355287.3005757,43041,-999.97998046875
1712355291.4114857,43287,-999.97998046875
1712355295.974482,43564,-999.97998046875
1712355299.3532944,43761,-999.9000244140625
1712355302.9670796,43976,-999.9000244140625
1712355305.7792773,44138,-999.9000244140625
1712355310.3348508,44413,-999.9000244140625
1712355313.1421025,44575,-999.9000244140625
1712355316.4151077,44769,-999.9199829101562
1712355320.0749934,44987,-999.9199829101562
1712355324.0493627,45226,-999.9199829101562
1712355328.0352843,45465,-999.9099731445312
1712355333.0279047,45769,-999.9099731445312
1712355337.0535698,46010,-999.9099731445312
1712355339.3218343,46137,-999.8599853515625
1712355342.5020354,46321,-999.8599853515625
1712355346.544711,46562,-999.8599853515625
1712355350.7316804,46813,-999.8599853515625
1712355354.394796,47032,-999.8599853515625
1712355358.9088502,47306,-999.8599853515625
1712355361.9164686,47482,-999.8599853515625
1712355365.2388382,47680,-999.8599853515625
1712355368.468553,47870,-999.8599853515625
1712355372.2399669,48098,-999.8599853515625
1712355375.8565595,48316,-999.8599853515625
1712355379.314611,48523,-999.8599853515625
1712355383.8024337,48794,-999.8599853515625
1712355387.0779781,48987,-999.8599853515625
1712355389.86757,49148,-999.9400024414062
1712355392.324392,49289,-999.9400024414062
1712355396.0301929,49510,-999.9400024414062
1712355400.4017816,49772,-999.8200073242188
1712355403.8748875,49979,-999.8200073242188
1712355409.7273245,50181,-999.8099975585938
1712355413.789344,50321,-999.8099975585938
1712355416.5376809,50412,-999.780029296875
1712355418.093424,50457,-999.75
1712355420.2491436,50527,-999.75
1712355421.6314871,50568,-999.75
1712355423.397846,50621,-999.760009765625
1712355425.6077492,50693,-999.760009765625
1712355428.5520792,50789,-999.760009765625
1712355430.9715083,50868,-999.530029296875
1712355432.8379462,50925,-999.47998046875
1712355434.9263217,50991,-999.2899780273438
1712355436.9447134,51053,-999.1099853515625
1712355438.6736128,51107,-999.030029296875
1712355440.8953612,51177,-998.8099975585938
1712355442.8032475,51237,-998.6900024414062
1712355444.6277413,51294,-998.5700073242188
1712355446.658929,51360,-998.4199829101562
1712355449.7324128,51461,-997.8699951171875
1712355451.772639,51525,-997.7000122070312
1712355453.782529,51589,-997.5399780273438
1712355455.4044876,51637,-997.52001953125
1712355457.4383028,51701,-997.3300170898438
1712355459.3410974,51761,-997.260009765625
1712355461.055432,51814,-997.1799926757812
1712355462.8687458,51869,-997.1500244140625
1712355464.5844085,51923,-997.0499877929688
1712355466.6180055,51987,-996.9000244140625
1712355468.2487931,52037,-996.9099731445312
1712355470.185352,52097,-996.760009765625
1712355472.0208464,52153,-996.6799926757812
1712355473.6157055,52201,-996.719970703125
